prompt,completion
Abdomen,Vùng bụng
Abdominal,Thuộc vùng bụng
Abdominal aorta,Động mạch chủ bụng
Abdominal aortic dissection,Bóc tách động mạch chủ bụng
Abdominal cramps,Co thắt vùng bụng
Abdominal CT,Chụp CT vùng bụng
Abdominal distension,Chướng bụng
Abdominal pain,Đau bụng
Abnormal cells,Tế bào bất thường
Abnormal mental status,Trạng thái tâm lý / tâm thần bất thường
Abruptio placentae,Rau/Nhau bong non
Abscess,Áp xe
Absence,Không có
Absent,Vắng
Absolute neutrophil count (ANC),Số lượng bạch cầu trung tính
Accompanying symptom,Triệu chứng đi kèm
ACE inhibitor,Thuốc ức chế men chuyển
Acetylcholine receptor antibodies,Kháng thể kháng thụ thể Acetylcholin
Achlorhydria,Không có axít dịch vị
Acholic,Giảm tiết mật
Acholic stools,Phân giảm tiết mật
Acid-fast,Kháng axít
Acids,Axít
Acoustic meatus,Ống tai ngoài
Acquired,Mắc phải
Acquired immune deficiency syndrome (AIDS),Hội chứng suy giảm miễn dịch mắc phải (AIDS)
Acromegaly,Bệnh to đầu chi
Activated charcoal,Than hoạt tính
Activated partial prothrombin time,Thời gian prothrombin từng phần hoạt hóa
Activated partial thromboplastin time,Thời gian thromboplastin từng phần hoạt hóa
Activated partial thromboplastin time (APTT),Thời gian thromboplastin hoạt hóa từng phần
Active sediment,Lớp lắng chủ động
Acute,Cấp tính
Acute abdominal paint syndrome,Hội chứng đau bụng cấp
Acute blood loss,Mất máu cấp tính
Acute cholecystitis,Viêm túi mật cấp
Acute Coronary Syndrome (ACS),Hội chứng vành cấp (ACS)
Acute haemorrhage,Xuất huyết cấp tính
Acute ischemic stroke,Nhồi máu não cấp tính
Acute kidney failure,Suy thận cấp
Acute kidney injury,Tổn thương thận cấp tính
Acute mesenteric ischaemia,Thiếu máu mạc treo cấp tính
Acute myocardial infarction,Nhồi máu cơ tim cấp
Acute pulmonary coccidioidomycosis,Nhiễm nẫm Coccidioides ở phổi cấp tính
Acutely hot joint,Khớp sưng nóng cấp tính
Adenocarcinoma,Ung thư biểu mô tuyến
Adenopathy,Bệnh hạch
Adenovirus,Adenovirus
Adipose tissue,Mô mỡ
Adjusted,Được điều chỉnh
Admission,Nhập viện
Adolescent,Trẻ vị thành niên
Adrenocorticotrophic hormone (ACTH),Hormon kích thích tuyến vỏ thượng thận (ACTH)
Adults,Người lớn
Advanced infection,Nhiễm trùng tiến triển
Adventitious lung sounds,Âm thở phụ
Advisory Committee on Immunization Practices (ACIP),Ủy ban Tư vấn về Thực hành Tiêm chủng (ACIP)
Aerosol,Hạt nhỏ trong không khi
Aerosolisation,Quá trình khí dung/ quá trình khí hóa
Aerosolised transmission,Lây truyền qua không khí
Aetiological agents,Tác nhân gây bệnh
Aetiology,Bệnh căn học
Affected,Bị ảnh hưởng
African-American,Người Mỹ gốc Phi
African-American women,Phụ nữ người Mỹ gốc Phi
Afterload,Hậu gánh
Aggresive supportive care,Chăm sóc nâng đỡ tích cực
Agonist,Chủ vận
Ague,Cơn sốt rét
Air hunger,Thở nhanh sâu
Airborne,Do không khí
Airborne route,Đường không khí
Airborne transmission,Truyền nhiễm qua không khí
Airway,Đường thở
Alastrim,Đậu mùa thể nhẹ
Alcohol abuse,Lạm dụng rượu
