question,answer
"Chào bác sĩ, Buổi sáng thức dậy, tôi đi tiểu thì nước tiểu có nhiều bọt. Màu nước tiểu bình thường. Lần tiểu sau bọt ít hơn. Vậy bác sĩ cho tôi hỏi nước tiểu có nhiều bọt có sao không? Tôi cảm ơn bác sĩ.","Chào bác, Với câu hỏi “Nước tiểu có nhiều bọt có sao không?”, bác sĩ xin giải đáp như sau: Bọt có trong nước tiểu hình thành có thể do lực cơ học (nam tiểu đứng dễ tạo bọt, xả nước sẽ tan hết), cũng có thể do trong nước tiểu có đạm (xả nước không tan hết). Vì vậy, bác cần làm xét nghiệm nước tiểu để xem có đạm hay không vì đây cũng là khuyến cáo nằm trong kiểm tra sức khỏe tổng quát hàng năm. Nếu bác còn thắc mắc về nước tiểu có nhiều bọt, bác có thể đến bệnh viện để kiểm tra và tư vấn thêm. Cảm ơn bác đã tin tưởng và gửi câu hỏi đến DICA. Chúc bác có thật nhiều sức khỏe. Trân trọng!"
"Chào bác sĩ, sau khi mổ u xơ tiền liệt tuyến đã được xuất viện về nhà và uống thuốc theo đơn của bác sĩ 9 ngày rồi nhưng vẫn gặp khó khăn trong việc đi tiểu: Không làm chủ được, nước tiểu vẫn chảy tự do. Vậy bác sĩ cho em hỏi tiểu không tự chủ sau mổ u xơ tiền liệt tuyến phải làm sao? Em cảm ơn bác sĩ.","Chào bạn, Với câu hỏi “Tiểu không tự chủ sau mổ u xơ tiền liệt tuyến phải làm sao?”, bác sĩ xin giải đáp như sau: Tiểu không kiểm soát là triệu chứng thường gặp sau khi cắt đốt nội soi tuyến tiền liệt. Triệu chứng này sẽ giảm dần trong vòng 6 tháng sau phẫu thuật. Do đó, tạm thời không cần điều trị gì. Nếu còn kéo dài sau 6 tháng thì cần đi khám lại ở bác sĩ phẫu thuật để được tư vấn kỹ hơn. Nếu bạn còn thắc mắc về tiểu không tự chủ sau mổ u xơ tiền liệt tuyến, bạn có thể đến bệnh viện để kiểm tra và tư vấn thêm. Cảm ơn bạn đã đặt câu hỏi cho DICA. Chúc bạn có thật nhiều sức khỏe. Trân trọng!"
Chào bác sĩ! Tôi bị tăng sắc tố da khá đậm ở vùng cằm. Tôi muốn hỏi bác sĩ là bệnh tăng sắc tố da có chữa được không và tỉ lệ khỏi là bao nhiêu và khả năng tái lại là như thế nào? Mong bác sĩ giải đáp và tư vấn cho tôi cách điều trị. Cảm ơn bác sĩ.,"Chào bạn! Tăng sắc tố là tình trạng một vùng da sậm màu hơn so với bình thường, có thể là một bớt sắc tố hoặc là hậu quả của các bệnh da mạn tính... Để có thể kết luận bệnh tăng sắc tố da có chữa được không, bạn có thể đến khám tại cơ sở Y tế uy tín hoặc chuyên khoa Da liễu một trong các bệnh viện để được bác sĩ đánh giá đúng tình trạng và điều trị hiệu quả hơn nhé. Cảm ơn bạn đã đặt câu hỏi cho DICA. Trân trọng!"
"Chào bác sĩ, tôi có thắc mắc sau mong được bác sĩ tư vấn: Vì sao bệnh nhân tiểu đường type 2 cần phải làm kiểm tra PbA1C? Xin cảm ơn!","Chào bạn, đối với câu hỏi: Vì sao bệnh nhân tiểu đường type 2 cần phải làm kiểm tra PbA1C? bác sĩ xin được trả lời như sau: Xét nghiệm chỉ số HbA1C là để đánh giá chỉ số đường huyết của bạn trong ba tháng liên tục vừa qua cao hay thấp. Việc xét nghiệm chỉ số HbA1C giúp cho bệnh nhân và bác sĩ điều trị có kế hoạch điều trị phù hợp và an toàn với bệnh nhân. Ngoài ra HbA1c có giá trị chẩn đoán cũng như tầm soát sớm tiền đái tháo đường. Còn đối với bệnh nhân tiểu đường, chỉ số HbA1c < 6.5% có nghĩa đường máu của bạn đang được kiểm soát tốt, điều này có nghĩa có thể làm chậm và ngăn ngừa sự phát triển các biến chứng về mắt, thận, tim mạch và thần kinh do bệnh tiểu đường gây ra. Chỉ số HbA1c có thể sử dụng để chẩn đoán bệnh đái tháo đường và tiền đái tháo đường ( Hiệp hội đái tháo đường hoa kỳ). Cảm ơn bạn đã đặt câu hỏi cho DICA."
"Chào bác sĩ, vợ em bị sốt xuất huyết tính đến thời điểm hiện tại đã được 3 ngày rồi. Mặc dù, đến ngày thứ 3 cô ấy đã giảm sốt nhưng lại xuất hiện triệu chứng giảm nhiệt độ cơ thể kèm theo đó là đổ mồ hôi liên tục. Vậy bác sĩ cho em hỏi sốt xuất huyết đến ngày thứ 3 mà giảm sốt thì có nên đi khám không? Em cảm ơn bác sĩ.",Bác sĩ -.
"Chào bác sĩ, bác sĩ ơi cháu bị chó cắn và đang tiêm phòng. Hôm đang trên đường đi tiêm mũi cuối thì cháu lại bị một con chó cắn thì cháu có phải tiêm lại không ạ? Con chó đó cháu đang theo dõi ạ.","Chào bạn, cảm ơn bạn đã đặt câu hỏi tới DICA. Trước hết bạn vẫn phải hoàn thành mũi cuối đó và bác sỹ sẽ xem vết thương của bạn sạch hay bẩn có cần tiêm uốn ván không và theo dõi con chó để quyết định tiêm. Thường tiêm đợt một đủ thì trong cơ thể bạn có kháng thể rồi chỉ tiêm thêm 2 mũi theo phác đồ 0-3, chứ không phải tiêm lại như lần trước nữa."
"Thưa bác sĩ, Hiện nay, điều trị sỏi tiết niệu ở Việt Nam nói chung đã có rất nhiều tiến bộ. Vậy phương pháp điều trị sỏi tiết niệu đang áp dụng tại DICA là gì và ưu điểm của nó ra sao? Mong bác sĩ giải đáp giúp em, xin cảm ơn!","Chào em. Đối với câu hỏi: Phương pháp điều trị sỏi tiết niệu đang áp dụng tại DICA là gì? bác sĩ xin được giải đáp như sau: Sỏi tiết niệu hoàn toàn có thể điều trị 1 cách hiệu quả, miễn là bệnh nhân điều trị sớm và kích thước của sỏi còn nhỏ sẽ ít để lại biến chứng. Tại DICA có các trang thiết bị khá là hiện đại với dàn nội soi chuẩn HD, máy CT,... nên hầu như các phương pháp nội soi tán sỏi qua da, nội soi niệu quản tán sỏi bằng laser, nội soi bàng quang tán sỏi, nội soi tán sỏi niệu đạo và can thiệp tối thiểu cho bệnh nhân. Ưu điểm phương pháp mổ nội soi lấy sỏi tiết niệu là ít xâm lấn, nhẹ nhàng, bệnh nhân có thể ra viện sớm, an toàn, hồi phục nhanh. Cảm ơn bạn đã đặt câu hỏi cho DICA."
"Chào bác sĩ, hai tuần trước em có đau bụng phần thượng vị, không tiêu chảy. Sau đó, em có ghé nhà thuốc để kê đơn thuốc, dược sĩ cũng khuyên em là nếu uống mà không thuyên giảm thì em nên đi siêu âm. Sau đó, em cảm thấy ổn hơn, nhưng hôm qua em lại tiếp tục đau thượng vị xuất hiện kèm theo đường dây như trầy xước bên hông bụng nhưng em không va chạm ở đâu. Đến hôm nay, đường dây lại dài hơn. Triệu chứng đau thượng vị kèm theo xuất hiện đường dây bên hông là dấu hiệu nhiễm ký sinh trùng ạ? Mong bác sĩ tư vấn giúp, xin cảm ơn!","Chào em, Có nhiều nguyên nhân gây ra tình trạng đau vùng thượng vị, hay gặp là viêm dạ dày, ít hơn là viêm túi mật, viêm đường mật trong gan, viêm tụy, viêm thực quản, viêm đại tràng ngang, ... hiếm hơn là nhồi máu cơ tim. Nhưng bên hông có hình ảnh đường dây như vết trầy xước có thể là tình trạng xuất huyết dưới da hay gặp trong bệnh lý viêm tụy (là bệnh lý rất nguy hiểm) hoặc chỉ là bệnh lý ngoài da khác phối hợp. Tốt nhất, em nên đến bệnh viện để được thăm khám đánh giá đầy đủ, xác định nguyên nhân đau thượng vị và xuất hiện đường dây dưới da, cũng như phương pháp điều trị cho chính xác em nhé. Cảm ơn bạn đã đặt câu hỏi cho DICA."
"Chào bác sĩ,Hiện tại tôi đang điều trị lao phổi kháng H, S ở tháng thứ 5. Tuy nhiên mấy hôm nay tôi có dấu hiệu của bệnh cảm cúm: sổ mũi, hắt hơi, đau đầu, mệt mỏi. Vậy xin bác sĩ cho tôi biết liệu bệnh có thể tự khỏi được không? Nếu không tự khỏi được thì tôi nên uống thuốc gì để không ảnh hưởng đến quá trình điều trị lao? Tôi mong nhận được hồi âm sớm của bác sĩ, chân thành cảm ơn!","“Kháng thuốc” là khi vi trùng lao trong cơ thể chúng ta kháng - chống lại với một hay nhiều loại thuốc lao. Có những bệnh nhân chỉ bị kháng thuốc ở mức độ ít nghiêm trọng, nhưng có những bệnh nhân kháng thuốc mức độ nặng hơn gọi là “lao đa kháng thuốc”, và có những bệnh nhân kháng thuốc mức độ nguy hiểm hơn nữa gọi là “lao siêu kháng thuốc”. Tùy theo mức độ kháng thuốc mà bác sĩ sẽ lựa chọn phác đồ điều trị khác nhau cho bệnh nhân. Thời gian điều trị lao kháng thuốc có thể cần kéo dài đến 24 tháng. Điều trị lao kháng thuốc cần kết hợp nhiều loại thuốc lao hơn bình thường, và các thuốc lao hàng hai dùng trong điều trị lao kháng thuốc cũng có nhiều tác dụng phụ hơn. Do đó, quá trình điều trị lao kháng thuốc sẽ phức tạp hơn, và cần được theo dõi nhiều hơn. Lao kháng thuốc có thể điều trị khỏi.Mặc dù lao kháng thuốc gây khó khăn cho việc điều trị lao thành công, nhưng tùy theo mức độ nhẹ, nặng, hay nguy hiểm của tình trạng kháng thuốc mà BS sẽ lựa chọn phác đồ điều trị lao phù hợp cho bệnh nhân."
"Chào bác sĩ, Bố tôi 65 tuổi bị bệnh viêm màng não không rõ nguyên nhân đã điều trị ở bệnh viện 20 ngày đã ổn định và được cho ra viện về nhà 2 ngày thì có biểu hiện mất ngủ căng thẳng, bồn chồn lo nghĩ linh tinh. Bác sĩ cho tôi hỏi sau điều trị viêm màng não 2 ngày bị mất ngủ kèm căng thẳng nên làm gì? Đó có phải di chứng viêm màng não không? Cảm ơn bác sĩ tư vấn.","Chào bạn, Với câu hỏi “Sau điều trị viêm màng não 2 ngày bị mất ngủ kèm căng thẳng nên làm gì?”, bác sĩ giải đáp như sau: Triệu chứng bạn mô tả giống bệnh “Rối loạn lo âu” hơn. Một số trường hợp sau khi bị một bệnh nặng, bệnh nhân sẽ bị sang chấn tâm lý và trở nên lo lắng căng thẳng. Tuy nhiên, bạn nên đưa người bệnh đi khám, để bác sĩ đánh giá lại đầy đủ, từ đó mới chẩn đoán và điều trị chính xác. Nếu bạn còn thắc mắc về việc sau điều trị viêm màng não 2 ngày bị mất ngủ kèm căng thẳng, bạn có thể đến cơ sở y tế thăm khám và điều trị sớm. Cảm ơn bạn đã đặt câu hỏi cho DICA. Chúc bạn có thật nhiều sức khỏe. Trân trọng!"
